"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","4","0.0-0.0","1","Low_HMMActual","","","","","","","","","","","",""
"preload","1","5","0.0-1.0","1","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","3576","0.0-2.0-0.0","1","Low_HMMActual","","","","","","3540.175000001909","consent.html","","","","",""
"survey-multi-choice","3","7265","0.0-2.0-1.0","1","Low_HMMActual","","","","","","3687.2199999997974","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","9851","0.0-2.0-2.0","1","Low_HMMActual","","","","","","2584.820000000036","","{""Q0"":""25""}","","","",""
"survey-text","5","25334","0.0-2.0-3.0","1","Low_HMMActual","","","","","","15376.79500000013","","{""Q0"":""605e587133c1251ac9b2486c""}","","","",""
"image-keyboard-response","6","34129","0.0-3.0-0.0","1","Low_HMMActual","","","","","","8691.275000001042","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","38086","0.0-3.0-0.1","1","Low_HMMActual","","","","","","3956.5550000006624","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","40659","0.0-3.0-0.2","1","Low_HMMActual","","","","","","2572.3649999999907","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","41959","0.0-3.0-0.3","1","Low_HMMActual","","","","","","1299.5350000019243","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","43013","0.0-3.0-0.4","1","Low_HMMActual","","","","","","1054.5149999998102","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","45200","0.0-3.0-0.5","1","Low_HMMActual","","","","","","2185.8400000019174","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","46587","0.0-3.0-0.6","1","Low_HMMActual","","","","","","1387.3050000001967","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","66413","0.0-3.0-0.7","1","Low_HMMActual","","","","","","19824.860000000626","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","67604","0.0-3.0-0.8","1","Low_HMMActual","","","","","","1191.2049999991723","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","71285","0.0-3.0-0.9","1","Low_HMMActual","","","","","","3680.5899999999383","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","72427","0.0-3.0-0.10","1","Low_HMMActual","","","","","","1141.4550000008603","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","73910","0.0-3.0-0.11","1","Low_HMMActual","","","","","","1482.5899999996182","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","81088","0.0-3.0-0.12","1","Low_HMMActual","","","","","","7176.9249999997555","","","","tutorial/tutorial13.png"," ",""
