Subject,Ipast_task,ratio,diff,DTB,color
6110a4,0.5379721562471023,1.0803708162092194,0.011618911624792144,-0.022442671345741044,#008e8a
61081b,0.6398340087118781,1.067674153240389,0.008045540646230781,-0.07132083678141671,#9E0042
5d0269,0.8088134197506255,0.9160852313354859,-0.014140818487642759,-0.05112720967629575,#808080
6101bc,5.8693755351387126e-05,104.07070233349135,0.006297886505272288,3.919797853585252e-05,#8E3F97
61084a,0.28936815852860265,1.0039379519196239,0.0001539164542710622,-0.058752423158392214,#F46C43
5eb122,0.01107097853761214,2.647781738738626,0.0012497184607055917,-0.003349474689635092,#FFCE03
5e664b,0.33675114366084113,0.9696607780672187,-0.0015356036177343463,-0.061505396709801416,#2f7ebf
61418d,0.5216720539388846,1.6558804421066367,0.05645670510740476,-0.07687761191151045,#F46C43
5fe546,0.39254435347520694,1.5660197240957587,0.05577564166508196,-0.02979129898430559,#5E4FA2
60c7ac,0.4443429346249207,1.508855805540387,0.03854983843118277,-0.06689956345734453,#B881B8
614014,0.5032690047224674,1.3128786549217895,0.029516207979697257,-0.0638892592460583,#ffee93
5f2478,0.9457127399982254,1.06565298187314,0.012092139859721018,-0.05169150567511532,#000080
61085f,0.40524146283941115,0.9274568536555101,-0.006237690815650301,-0.04603479034807162,#ce3345
612d41,0.9052230352731543,1.307487668639817,0.05277159970200307,-0.05989172698261935,#e84638
5ae59f,0.7518348234170034,0.9965630201206921,-0.0005093939098452238,-0.06284492143376158,#89B5E1
5c919c,0.5055315398879217,1.1015040340307751,0.0073974114636639055,-0.08593015420000222,#EE8D23
5fae59,0.705174490822964,1.182296308009941,0.028236581003756894,-0.04818523371699246,#153cd8
606699,0.5827837053367038,1.2337573626712417,0.026924054299815425,-0.062366158292481655,#B881B8
5f7082,0.47399207431525897,1.1203731307441602,0.010952703608608672,-0.059710458981063086,#EBB1D0
60ff58,0.6842590708940051,1.2131148710472979,0.029438994310899136,-0.060998360958605835,#AED47E
5c477c,0.4372990333385588,1.21763558194935,0.020829961872149305,-0.04503644220153652,#FD9461
613a29,0.7207375006618261,1.3782223074381783,0.060307720860283465,-0.04645693984502308,#5E4FA2
593887,0.7971384021871821,1.1970289250367947,0.03921448960045837,-0.019018572333186462,#66C2A4
5e0f22,0.4034902939274264,1.4589629956073311,0.03319133006429949,-0.05919380891601804,#EB77AD
5a212d,0.7265320485495643,1.2411941719957251,0.030406275418706302,-0.08080912160051582,#008e8a
5dc368,0.4572456906522059,1.220932151090219,0.026893700050506453,-0.024429122224132294,#EB77AD
611a43,0.6663589749134637,1.1991369783628558,0.02741062377491363,-0.057986965299484994,#EBB1D0
6102bb,0.44480461210389555,1.6249070229065263,0.046427898729180864,-0.06848699023232384,#44803C
5dffb7,0.11885283648114027,17.859356656683772,0.0009090854192386724,-0.04239940792380849,#f7e84a
5ec509,0.36984787506244765,1.055787351958228,0.0047281072585701744,-0.03698429123959737,#f7e84a
613dbd,0.5693251709147967,0.9830130592212064,-0.0023177551108685412,-0.03798010244947486,#89B5E1
5ca7ca,0.7628489585161453,1.4789475084307397,0.07942553351120232,-0.04701302597409099,#2f7ebf
610636,0.2882069637620323,1.110218732276403,0.0061812167723886285,-0.04140391061701926,#58CCCC
5d88f2,0.6147801509081561,1.1247299128049486,0.017903330107822468,-0.041310551619416214,#aaf7be
5f479d,0.6925277033009944,1.3687501312062462,0.057598108766842626,-0.04451849108714381,#FD9461
5a63b4,0.5980359571735115,0.921813293960063,-0.007944378246936931,-0.07942206988324363,#9E0042
5dd13a,0.4580337161354214,0.948749336859246,-0.002954362113614363,-0.08872585977874298,#FFCE03
5f2710,0.4486948117885773,1.1355749981152432,0.014966800262334198,-0.03344294740864491,#000080
5c4cea,0.34579836273927944,1.335557245029724,0.020452529904575356,-0.0537977270626574,#f7ce7e
5c910a,0.5512814304963036,1.0147178537137789,0.001792394148917964,-0.048372736533462024,#153cd8
611154,0.7672720481852946,1.1580848311144396,0.024675402034722932,-0.05747347293023644,#808080
610d81,0.6980521412454425,1.2877425279354904,0.040221143205600496,-0.06199139951234256,#e84638
