colorhex
#FFCE03
#808080
#153cd8
#5E4FA2
#EBB1D0
#F46C43
#FD9461
#9E0042
#EB77AD
#2f7ebf
#000080
#B881B8
#89B5E1
#008e8a
#f7e84a
#e84638
#66C2A4
#58CCCC
#aaf7be
#AED47E
#44803C
#f7ce7e
#ce3345
#EE8D23
#8E3F97
#ffee93
