Subject,Ipast_task,ratio,diff,DTB
5c102d,0.8297265515292799,1.2712354217173119,0.04967263899831276,-0.039286288867615426
60fd79,0.6903590231594439,1.3630094515802271,0.061318721516384095,-0.03139949874526565
60fe3a,0.9309322307648074,1.2395967916222848,0.043181254007494896,-0.05406367387625402
5ead88,0.7455219012057878,1.034928623234316,0.005319322868450688,-0.05771473747573963
5ea98d,0.7028918195238494,1.0088168143848,0.0013623325972311195,-0.04815366813149541
60fee3,0.425016809052839,1.3235600771936307,0.030921189336289664,-0.04183352229037067
60b003,0.5738793233641012,1.1147625555078966,0.012133394504630982,-0.06984244147220996
5eb512,0.7475465470755228,1.28835187880596,0.047833915368943464,-0.04445527808884828
60fdbf,0.9469591616992787,1.1661334459736634,0.029981664918966672,-0.05553874716439808
5fd41b,0.7108318782365438,1.2022215734321735,0.03589431436295973,-0.026618221365495853
60fdd1,0.8279199068897326,1.1094077236584543,0.019932832386845734,-0.039992115851788024
5cd6bc,0.5899396976764908,1.4493593370641649,0.04950800022644429,-0.06905965379958985
54a751,0.7397747545194748,1.0767957321536252,0.011726560034570788,-0.05635237622650546
5e8b4c,0.40623089996956546,1.310656858873733,0.026208627504832854,-0.04792794815365156
5ff1ca,0.5531067853743662,1.290054747596168,0.03805082337659141,-0.0394171861139781
5c22a8,0.04935853751961641,1.5131403542215311,0.010304754621556875,0.0020678260114067037
60256d,0.8843937916309608,1.119263990194339,0.022628632649597552,-0.039382420451344796
60a440,0.7158999572830018,1.3570887013878523,0.057171767375458316,-0.04493793027207135
60f879,0.679280220950389,1.188720906795887,0.03195261009366332,-0.02889043723061424
5eebcc,0.47987372367124514,1.7180288151034164,0.07290615706400537,-0.05068356597944616
