Subject,Ifuture_both,Ifuture_task,Ipast_task,Ipast_both,ratio,diff,pastdiff,DTB,color
60b610d8,0.2366657905743949,0.19151675381651775,0.9836747155918417,1.8927013879306442,1.2357445803469085,0.04514903675787715,0.9090266723388025,-0.048247601052237826,#153cd8
5929e024,0.12909894223929966,0.07766061577159963,0.42861870803372304,0.7734503083414705,1.6623476514657116,0.051438326467700024,0.3448316003077475,-0.06073661555960028,#153cd8
613cb9a1,0.18782861041265309,0.1285333240197564,0.6771766382324411,1.1316804652116417,1.461322282334989,0.05929528639289669,0.45450382697920055,-0.06923120148165388,#153cd8
60c13bce,0.23381998274621862,0.17666752328639843,0.8897578333375584,1.677637576057806,1.3235029189103957,0.0571524594598202,0.7878797427202475,-0.0530796692000198,#153cd8
603e5aad,0.1571925597650605,0.126547411963542,0.6296848767895823,0.9214508972606241,1.242163370439747,0.030645147801518502,0.29176602047104183,-0.06142604471475277,#153cd8
61250829,0.10454316452623931,0.10378013228085914,0.5218300927243085,0.7741614964895549,1.0073523922990886,0.0007630322453801713,0.25233140376524643,-0.059188256569526976,#153cd8
5f23059a,0.08147146901092653,0.07470245265954997,0.40105468984308557,0.6401521644384945,1.0906130402736007,0.0067690163513765556,0.23909747459540898,-0.05609856524120024,#153cd8
6110a43a,0.1631796060800926,0.14331420726742577,0.524326562610019,0.7545730222387182,1.1386143020391397,0.01986539881266683,0.23024645962869927,-0.020293604466681825,#153cd8
5f615788,0.14957681616309518,0.10985744318500042,0.5352564221914061,0.8682390954324741,1.361553772111801,0.03971937297809476,0.332982673241068,-0.05646786788198306,#153cd8
6153b551,0.20721574465582152,0.13979083311185977,0.8284670726692074,1.3749653153471848,1.4823271314937279,0.06742491154396174,0.5464982426779774,-0.08246019151068298,#153cd8
5a84b912,0.14284704671240775,0.12489426320385973,0.4541427514179303,0.8435724959215986,1.1437438601903152,0.017952783508548023,0.38942974450366824,-0.020428354018474468,#153cd8
60d70c9a,0.08980195197098827,0.08947567120709485,0.4871632444849242,0.724143214938828,1.0036465863791983,0.000326280763893419,0.23697997045390384,-0.06461346931041834,#153cd8
5f40375e,0.1448209766290348,0.12001009498772378,0.5907032300017675,0.9943101445699071,1.2067399550333577,0.02481088164131101,0.4036069145681396,-0.05930544251835626,#153cd8
5f439ac8,0.16728634611311075,0.14707842139633392,0.6165715231829139,0.874178607619142,1.1373955779843619,0.02020792471677682,0.25760708443622815,-0.03803311293658826,#153cd8
60b8b246,0.18563095078553773,0.16435653813177448,0.6676053924479127,1.1270136004255913,1.1294406227801312,0.02127441265376326,0.45940820797767856,-0.03151885035438756,#153cd8
5fc67d0d,0.18057087966276356,0.1583523647798264,0.7486286702504735,1.0694349913723888,1.1403105972798693,0.022218514882937163,0.3208063211219153,-0.05222667642081985,#153cd8
6032a88a,0.03748084926537406,0.04188587267781005,0.42372876848604035,0.5957765373624438,0.8948327173145029,-0.004405023412435989,0.1720477688764035,-0.0951845814714887,#153cd8
61081bcf,0.1290350394382109,0.12607629968667333,0.6565271916461675,0.7939087895580641,1.0234678504912555,0.00295873975153757,0.13738159791189664,-0.06757701132252728,#153cd8
5d827229,0.18816777766928683,0.12300845874953292,0.6669669996679881,1.1634795343198427,1.5297141317121115,0.0651593189197539,0.49651253465185463,-0.07273888022361596,#153cd8
613ad089,0.08509577494259937,0.08082200993174714,0.358511127893001,0.6171965707571965,1.0528787271494653,0.004273765010852235,0.2586854428641955,-0.03763241782653505,#153cd8
610d57d6,0.15014346985869742,0.1355635473991763,0.643876987469154,0.8355703522450462,1.1075504642600529,0.01457992245952111,0.19169336477589216,-0.055507264837441256,#153cd8
5f0a9094,0.1940785903720832,0.1720016755227451,0.6981711236201805,1.1085822478007459,1.1283529057623551,0.022076914849338103,0.41041112418056536,-0.02977652956096749,#153cd8
5f4f9dec,0.10748176108474286,0.10373940842759044,0.4260301565228694,0.6936338224649059,1.0360745517434153,0.00374235265715242,0.2676036659420365,-0.033955476576975646,#153cd8
5fa45dc9,0.05831978385426757,0.04113132161327807,0.2749534406789907,0.5603328605905229,1.4178922914901109,0.0171884622409895,0.2853794199115322,-0.052330881815849405,#153cd8
6036561c,0.11131123235392315,0.09703326826008897,0.5184028621896343,0.6997618968569898,1.1471450395297764,0.01427796409383418,0.18135903466735548,-0.0650573012165473,#153cd8
5efb8358,0.14646645137201514,0.13193337174722386,0.6265843838961898,0.7248713984583649,1.1101546896916707,0.014533079624791279,0.09828701456217515,-0.05536341821716817,#153cd8
60f487b1,0.2088646697703614,0.1542729386946045,0.7210094608870656,1.1884840535123935,1.35386459568146,0.05459173107575688,0.46747459262532787,-0.05155951273219009,#153cd8
613f3eaf,0.08811483301634414,0.06646406184998654,0.3414221922971926,0.5861047819785052,1.325751549991403,0.021650771166357594,0.24468258968131262,-0.04703097665875351,#153cd8
60b00433,0.2139530633356947,0.12676097414686613,0.578913176118729,1.23115997602366,1.687846474639799,0.08719208918882856,0.6522467999049311,-0.049903084316196916,#153cd8
6126605a,0.13457074581886844,0.1274640265284971,0.6764584635895428,0.9242394157768142,1.055754705730895,0.007106719290371349,0.24778095218727147,-0.07016311398756084,#153cd8
60abeb39,0.21630774809900374,0.1556843131797884,0.7328972328776758,1.311262553071305,1.3893997646969467,0.06062343491921535,0.5783653201936291,-0.05227905386760137,#153cd8
5e9ee705,0.16757989221398703,0.13417678026717578,0.6564026805247588,1.019852382241611,1.2489485280560335,0.033403111946811254,0.3634497017168522,-0.05945155616686909,#153cd8
6122bbb8,0.1620282966782766,0.11116073304927762,0.6573129354244424,0.9351462299272727,1.4576037080148558,0.05086756362899897,0.27783329450283034,-0.082650183295267,#153cd8
609555cf,0.15581652095598625,0.1662075676481592,0.8520573910298378,0.8890086918354345,0.9374815067736897,-0.010391046692172945,0.03695130080559672,-0.05904105717331365,#153cd8
61001318,0.11077426746190591,0.08774098443390045,0.45585747337674143,0.6531395969370497,1.262514527009411,0.02303328302800546,0.19728212356030828,-0.05804688475035903,#153cd8
5ed69817,0.23552082959631324,0.19113239548456815,0.9859689758429344,1.7877434132455492,1.2322391973333948,0.04438843411174509,0.8017744374026148,-0.04885384519838884,#153cd8
5ea30f3d,0.14298289937649256,0.14653361533352086,0.5505722313153047,0.8107676140456059,0.9757685910570989,-0.0035507159570283,0.2601953827303012,-0.02343450044759074,#153cd8
613aeee1,0.13709769347906706,0.13767560567356923,0.4801544187856977,0.6796229385965284,0.9958023631588561,-0.0005779121945021781,0.19946851981083075,-0.014618358556918454,#153cd8
6151e280,0.12402783721942914,0.10033418313564793,0.5319871232658586,0.6768014054534972,1.2361473761315056,0.023693654083781213,0.1448142821876386,-0.06521353809317967,#153cd8
5f948447,0.1940390810000405,0.14312165589849674,0.6498075580953797,1.1178305979421672,1.3557632475804702,0.05091742510154376,0.4680230398467875,-0.049183823758496614,#153cd8
6154918f,0.14717528537040078,0.13055118558879963,0.477200742135753,0.6896362404273267,1.1273377925035664,0.016624099781601148,0.21243549829157377,-0.020986251013656615,#153cd8
56c641da,0.07882777152792196,0.06014236383512005,0.2771349243075815,0.5348022599031638,1.310686286691821,0.018685407692801914,0.25766733559558225,-0.033982157957371834,#153cd8
6140ef8d,0.22590741562010574,0.17436171633612738,0.9335781017396402,1.6825710847301703,1.2956250968796996,0.05154569928397837,0.7489929829905301,-0.06021326984454087,#153cd8
5af49a48,0.1922128885917524,0.16554338756593448,0.8345619105807538,0.9916417872057224,1.161102786513872,0.026669501025817915,0.15707987662496858,-0.05750949694677762,#153cd8
56e55e5c,0.1496311146812092,0.10852549265696683,0.5480151805703886,0.8465595810089802,1.3787646664196331,0.04110562202424238,0.29854440043859165,-0.060834438702904434,#153cd8
60ec0c8e,0.09024729203052066,0.07952863930097359,0.32940640311899416,0.6234757343624404,1.1347772679598185,0.01071865272954707,0.29406933124344625,-0.030465981099306497,#153cd8
6150842d,0.11606260883101616,0.09979214428728067,0.4569689183887669,0.6821792733353138,1.1630435407510258,0.016270464543735486,0.2252103549465469,-0.04629729097290139,#153cd8
