Subject,Ipast_task,ratio,diff,DTB,color
60b610d8,0.9836747155918417,1.2357445803469085,0.04514903675787715,-0.048259149697802456,#153cd8
5929e024,0.42861870803372304,1.6623476514657116,0.051438326467700024,-0.06074460299347903,#153cd8
613cb9a1,0.6771766382324411,1.461322282334989,0.05929528639289669,-0.06921990175210688,#153cd8
60c13bce,0.8897578333375584,1.3235029189103957,0.0571524594598202,-0.05308688426541344,#153cd8
603e5aad,0.6296848767895823,1.242163370439747,0.030645147801518502,-0.061477639224665453,#153cd8
61250829,0.5218300927243085,1.0073523922990886,0.0007630322453801713,-0.05921229883635282,#153cd8
5f23059a,0.40105468984308557,1.0906130402736007,0.0067690163513765556,-0.05610877111085169,#153cd8
6110a43a,0.524326562610019,1.1386143020391397,0.01986539881266683,-0.02031760695628007,#153cd8
5f615788,0.5352564221914061,1.361553772111801,0.03971937297809476,-0.05649738395622951,#153cd8
6153b551,0.8284670726692074,1.4823271314937279,0.06742491154396174,-0.08245643365278274,#153cd8
5a84b912,0.4541427514179303,1.1437438601903152,0.017952783508548023,-0.020444876748774585,#153cd8
60d70c9a,0.4871632444849242,1.0036465863791983,0.000326280763893419,-0.06463806393764734,#153cd8
5f40375e,0.5907032300017675,1.2067399550333577,0.02481088164131101,-0.05935772015876717,#153cd8
5f439ac8,0.6165715231829139,1.1373955779843619,0.02020792471677682,-0.03816743924530225,#153cd8
60b8b246,0.6676053924479127,1.1294406227801312,0.02127441265376326,-0.03151265533554204,#153cd8
5fc67d0d,0.7486286702504735,1.1403105972798693,0.022218514882937163,-0.05218871851338425,#153cd8
6032a88a,0.42372876848604035,0.8948327173145029,-0.004405023412435989,-0.09519093369879403,#153cd8
61081bcf,0.6565271916461675,1.0234678504912555,0.00295873975153757,-0.06754479332778787,#153cd8
5d827229,0.6669669996679881,1.5297141317121115,0.0651593189197539,-0.07273118560386774,#153cd8
613ad089,0.358511127893001,1.0528787271494653,0.004273765010852235,-0.03764907185184542,#153cd8
610d57d6,0.643876987469154,1.1075504642600529,0.01457992245952111,-0.055469321698898344,#153cd8
5f0a9094,0.6981711236201805,1.1283529057623551,0.022076914849338103,-0.02963342826141449,#153cd8
5f4f9dec,0.4260301565228694,1.0360745517434153,0.00374235265715242,-0.03396259839351806,#153cd8
5fa45dc9,0.2749534406789907,1.4178922914901109,0.0171884622409895,-0.052313282729184875,#153cd8
6036561c,0.5184028621896343,1.1471450395297764,0.01427796409383418,-0.06508139809077289,#153cd8
5efb8358,0.6265843838961898,1.1101546896916707,0.014533079624791279,-0.05543457365420407,#153cd8
60f487b1,0.7210094608870656,1.35386459568146,0.05459173107575688,-0.051663016354675684,#153cd8
613f3eaf,0.3414221922971926,1.325751549991403,0.021650771166357594,-0.047050220784932664,#153cd8
60b00433,0.578913176118729,1.687846474639799,0.08719208918882856,-0.049911006770929495,#153cd8
6126605a,0.6764584635895428,1.055754705730895,0.007106719290371349,-0.07015643589900225,#153cd8
60abeb39,0.7328972328776758,1.3893997646969467,0.06062343491921535,-0.052261219781403884,#153cd8
5e9ee705,0.6564026805247588,1.2489485280560335,0.033403111946811254,-0.059419045692333666,#153cd8
6122bbb8,0.6573129354244424,1.4576037080148558,0.05086756362899897,-0.0826198110326791,#153cd8
609555cf,0.8520573910298378,0.9374815067736897,-0.010391046692172945,-0.05904297763563754,#153cd8
61001318,0.45585747337674143,1.262514527009411,0.02303328302800546,-0.05806398088746535,#153cd8
5ed69817,0.9859689758429344,1.2322391973333948,0.04438843411174509,-0.04886080450345209,#153cd8
5ea30f3d,0.5505722313153047,0.9757685910570989,-0.0035507159570283,-0.02345078836395753,#153cd8
613aeee1,0.4801544187856977,0.9958023631588561,-0.0005779121945021781,-0.014643064858498755,#153cd8
6151e280,0.5319871232658586,1.2361473761315056,0.023693654083781213,-0.06524587783818314,#153cd8
5f948447,0.6498075580953797,1.3557632475804702,0.05091742510154376,-0.049135821173367705,#153cd8
6154918f,0.477200742135753,1.1273377925035664,0.016624099781601148,-0.021011004377318065,#153cd8
56c641da,0.2771349243075815,1.310686286691821,0.018685407692801914,-0.03396508099035847,#153cd8
6140ef8d,0.9335781017396402,1.2956250968796996,0.05154569928397837,-0.0602193533724979,#153cd8
5af49a48,0.8345619105807538,1.161102786513872,0.026669501025817915,-0.057507059576846875,#153cd8
