session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
615c9048a51d38157268d166,613e178f559063a7107f15e7,RETURNED,2021-10-05 17:53:47.011000,,73412.195696,24,24,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615c905c0417277344ed0692,60253f70e3734903217abed1,AWAITING REVIEW,2021-10-05 17:50:20.954000,2021-10-05 19:02:21.534000,4320.58,20,61,0,100,,86C55E73,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English, Spanish",Portugal,Female,DATA EXPIRED
615c907bc62cee0590b0700f,604ba80ddb72e25932371440,AWAITING REVIEW,2021-10-05 17:50:51.754000,2021-10-05 18:36:57.030000,2765.276,22,33,0,100,,86C55E73,Portugal,Portugal,DATA EXPIRED,Portuguese,"English, Portuguese",Portugal,Female,DATA EXPIRED
615c90abe8931d79ae257216,601d727d65282d0dda881dcf,AWAITING REVIEW,2021-10-05 17:51:44.379000,2021-10-05 18:50:03.744000,3499.365,19,58,1,100,,86C55E73,Portugal,Portugal,Other,Portuguese,"English, Portuguese",Portugal,Female,Yes
615c90b386a537edde94ac5d,5c44a1a111a0c200016ff5ba,AWAITING REVIEW,2021-10-05 17:52:06.880000,2021-10-05 18:44:51.428000,3164.548,24,234,1,100,,86C55E73,United Kingdom,United Kingdom,DATA EXPIRED,English,English,United Kingdom,Female,DATA EXPIRED
615c90d13e93f1dd0671335c,6121f4cae0c5ac4b7e05e3ec,RETURNED,2021-10-05 17:52:32.163000,,73487.203105,20,25,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
615c90d576bf475d089a915c,60dba78548f38392b2250bf2,AWAITING REVIEW,2021-10-05 17:56:45.636000,2021-10-05 19:58:27.421000,7301.785,21,23,2,96,,86C55E73,DATA EXPIRED,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Female,DATA EXPIRED
615c90fbad8cfef0cfdb579b,613a7ca0c1800b1751d64ef1,AWAITING REVIEW,2021-10-05 17:53:19.602000,2021-10-05 19:01:57.753000,4118.151,24,20,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"Spanish, English",Mexico,Female,No
615c910bc1f60cc5ecf31e15,610709b068f44077072d27b5,AWAITING REVIEW,2021-10-05 17:56:48.916000,2021-10-05 19:24:26.048000,5257.132,20,21,0,100,,86C55E73,Slovenia,Slovenia,Part-Time,Slovenian,"English, Slovenian",Slovenia,Female,Yes
615c91243885625db2ca5080,613a731981ce3c31716018be,AWAITING REVIEW,2021-10-05 17:53:43.218000,2021-10-05 18:49:09.192000,3325.974,25,22,0,100,,86C55E73,Mexico,Mexico,Part-Time,Spanish,"English, Spanish",Mexico,Female,No
615c91316db4fbf1ceca8e39,6111a53d3e49f206fb281f84,AWAITING REVIEW,2021-10-05 17:53:53.664000,2021-10-05 19:04:42.983000,4249.319,27,24,0,100,,86C55E73,Greece,Greece,Part-Time,Greek,"Greek, English",Greece,Female,Yes
615c915605d476ec347a0cb5,5de2cac379af44000dd574b1,AWAITING REVIEW,2021-10-05 17:54:39.208000,2021-10-05 19:56:41.339000,7322.131,27,189,1,100,,86C55E73,Bahamas,Canada,DATA EXPIRED,English,English,Canada,Female,DATA EXPIRED
615c91579e5ad70213140235,613a5b5169bcf5f51bbc43bd,AWAITING REVIEW,2021-10-05 17:54:49.202000,2021-10-05 19:01:46.270000,4017.068,19,21,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,Yes
615c91be81b0d3b3a6a1c72b,5c813f9e40650900116d13aa,AWAITING REVIEW,2021-10-05 17:56:16.309000,2021-10-05 18:51:20.229000,3303.92,21,46,0,100,,86C55E73,Greece,Netherlands,Part-Time,Greek,"English, Serbian, Greek",Greece,Female,Yes
615c92473379b6e765bf3c3d,613a4cae09206ef2b68f9bb3,AWAITING REVIEW,2021-10-05 17:59:49.332000,2021-10-05 18:51:41.941000,3112.609,25,24,0,100,,86C55E73,Mexico,Mexico,Unemployed (and job seeking),Spanish,"English, Spanish",Mexico,Female,No
615c9c6e813fc714ef91794f,6107d55f3aa95291f0ff52bd,AWAITING REVIEW,2021-10-05 18:42:16.700000,2021-10-05 19:42:24.727000,3608.027,20,28,0,100,,86C55E73,Poland,Poland,Other,Polish,"Polish, English",Poland,Female,Yes
615ca7c9e2b2b73b45e5d7c9,5ae6313e58af2400010a4a7d,AWAITING REVIEW,2021-10-05 19:30:23.992000,2021-10-05 20:36:43.380000,3979.388,45,368,1,100,,86C55E73,Spain,Ireland,DATA EXPIRED,Spanish,"Catalan, English, Spanish",Spain,Female,DATA EXPIRED
