"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","12","0.0-0.0","44","Low_HMMActual","","","","","","","","","","","",""
"preload","1","13","0.0-1.0","44","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","4465","0.0-2.0-0.0","44","Low_HMMActual","","","","","","4348.5999999996275","consent.html","","","","",""
"survey-multi-choice","3","734735","0.0-2.0-1.0","44","Low_HMMActual","","","","","","730267.0999999996","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","742588","0.0-2.0-2.0","44","Low_HMMActual","","","","","","7850","","{""Q0"":""41""}","","","",""
"survey-text","5","751683","0.0-2.0-3.0","44","Low_HMMActual","","","","","","8994.199999999255","","{""Q0"":""5f52237276d614488e847c1b""}","","","",""
"image-keyboard-response","6","831068","0.0-3.0-0.0","44","Low_HMMActual","","","","","","79282.69999999925","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","841131","0.0-3.0-0.1","44","Low_HMMActual","","","","","","10062.5","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","847939","0.0-3.0-0.2","44","Low_HMMActual","","","","","","6806.799999998882","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","851779","0.0-3.0-0.3","44","Low_HMMActual","","","","","","3839.60000000149","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","855746","0.0-3.0-0.4","44","Low_HMMActual","","","","","","3966.89999999851","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","860714","0.0-3.0-0.5","44","Low_HMMActual","","","","","","4967.60000000149","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","867851","0.0-3.0-0.6","44","Low_HMMActual","","","","","","7135.799999998882","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","947504","0.0-3.0-0.7","44","Low_HMMActual","","","","","","79653.59999999963","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","964736","0.0-3.0-0.8","44","Low_HMMActual","","","","","","17231.300000000745","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","999536","0.0-3.0-0.9","44","Low_HMMActual","","","","","","34798.79999999888","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","1011207","0.0-3.0-0.10","44","Low_HMMActual","","","","","","11671.199999999255","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","1032231","0.0-3.0-0.11","44","Low_HMMActual","","","","","","21023.099999999627","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","1053846","0.0-3.0-0.12","44","Low_HMMActual","","","","","","21615.099999999627","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","1076182","0.0-3.0-0.13","44","Low_HMMActual","","","","","","22335.199999999255","","","","tutorial/tutorial14.png"," ",""
"image-keyboard-response","20","1082029","0.0-3.0-0.14","44","Low_HMMActual","","","","","","5846.800000000745","","","","tutorial/tutorial15.png"," ",""
"image-keyboard-response","21","1093101","0.0-4.0","44","Low_HMMActual","","","","","","11071.200000001118","","","","tutorial/tutorial16.png","arrowup",""
"image-keyboard-response","22","1103269","0.0-5.0","44","Low_HMMActual","","","","","","7641.199999999255","","","","tutorial/tutorial17.png","arrowright",""
"image-keyboard-response","23","1115397","0.0-6.0","44","Low_HMMActual","","","","","","6199.699999999255","","","","tutorial/tutorial18.png","arrowleft",""
"image-keyboard-response","24","1153612","0.0-7.0","44","Low_HMMActual","","","","","","36530.40000000037","","","","tutorial/tutorial19.png"," ",""
"html-keyboard-response","25","1168204","0.0-8.0","45","Low_HMMActual","","","","","","14589.400000000373","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","26","1191790","0.0-9.0-0.0","45","Low_HMMActual","","","","","","23584.60000000149","","","","Images/NoChoice.png","","0"
"image-button-response","27","1192092","0.0-9.0-1.0","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","28","1192593","0.0-9.0-2.0","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","29","1206168","0.0-9.0-0.1","45","Low_HMMActual","","","","","","13574.099999999627","","","","Images/NewTrialWC.png","","0"
"image-button-response","30","1206469","0.0-9.0-1.1","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","31","1206970","0.0-9.0-2.1","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","32","1209160","0.0-9.0-0.2","45","Low_HMMActual","","","","","","2189.300000000745","","","","Images/NewTrialWC.png","","0"
"image-button-response","33","1209461","0.0-9.0-1.2","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","34","1209963","0.0-9.0-2.2","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","35","1214050","0.0-9.0-0.3","45","Low_HMMActual","","","","","","4085.2999999988824","","","","Images/NewTrialWC.png","","0"
"image-button-response","36","1214351","0.0-9.0-1.3","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","37","1214852","0.0-9.0-2.3","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","38","1222670","0.0-9.0-0.4","45","Low_HMMActual","","","","","","7817.0999999996275","","","","Images/NewTrialBC.png","","0"
"image-button-response","39","1222971","0.0-9.0-1.4","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","40","1223472","0.0-9.0-2.4","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","41","1225800","0.0-9.0-0.5","45","Low_HMMActual","","","","","","2326.2999999988824","","","","Images/NewTrialWC.png","","0"
"image-button-response","42","1226101","0.0-9.0-1.5","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","43","1226602","0.0-9.0-2.5","45","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","44","1227409","0.0-9.0-0.6","45","Low_HMMActual","","","","","","806.5999999996275","","","","Images/NewTrialWC.png","","2"
"image-button-response","45","1227711","0.0-9.0-1.6","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","46","1228212","0.0-9.0-2.6","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","47","1230113","0.0-9.0-0.7","45","Low_HMMActual","","","","","","1900.5","","","","Images/NewTrialWC.png","","2"
"image-button-response","48","1230415","0.0-9.0-1.7","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","49","1230916","0.0-9.0-2.7","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","50","1231067","0.0-9.0-0.8","45","Low_HMMActual","","","","","","150.2000000011176","","","","Images/NewTrialWC.png","","2"
"image-button-response","51","1231368","0.0-9.0-1.8","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","52","1231870","0.0-9.0-2.8","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","53","1232469","0.0-9.0-0.9","45","Low_HMMActual","","","","","","598.5","","","","Images/NewTrialWC.png","","2"
"image-button-response","54","1232770","0.0-9.0-1.9","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","55","1233271","0.0-9.0-2.9","45","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"html-keyboard-response","56","1243394","0.0-10.0","45","Low_HMMActual","","","","","","10122.599999999627","","","",""," ",""
