"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","17","0.0-0.0","27","Low_HMMActual","","","","","","","","","","","",""
"preload","1","18","0.0-1.0","27","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","21862","0.0-2.0-0.0","27","Low_HMMActual","","","","","","21774.100000023842","consent.html","","","","",""
"survey-multi-choice","3","25827","0.0-2.0-1.0","27","Low_HMMActual","","","","","","3962.5","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","28516","0.0-2.0-2.0","27","Low_HMMActual","","","","","","2683.399999976158","","{""Q0"":""20""}","","","",""
"survey-text","5","32423","0.0-2.0-3.0","27","Low_HMMActual","","","","","","3803.5","","{""Q0"":""5ebd676b0ee54a0379a10188""}","","","",""
"image-keyboard-response","6","66204","0.0-3.0-0.0","27","Low_HMMActual","","","","","","33677.5","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","80027","0.0-3.0-0.1","27","Low_HMMActual","","","","","","13823","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","83202","0.0-3.0-0.2","27","Low_HMMActual","","","","","","3173.699999988079","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","86818","0.0-3.0-0.3","27","Low_HMMActual","","","","","","3614.800000011921","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","89119","0.0-3.0-0.4","27","Low_HMMActual","","","","","","2299.899999976158","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","97549","0.0-3.0-0.5","27","Low_HMMActual","","","","","","8428.800000011921","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","104271","0.0-3.0-0.6","27","Low_HMMActual","","","","","","6721.099999964237","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","126732","0.0-3.0-0.7","27","Low_HMMActual","","","","","","22459.600000023842","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","132569","0.0-3.0-0.8","27","Low_HMMActual","","","","","","5835.699999988079","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","147940","0.0-3.0-0.9","27","Low_HMMActual","","","","","","15370","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","156961","0.0-3.0-0.10","27","Low_HMMActual","","","","","","9020.199999988079","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","163121","0.0-3.0-0.11","27","Low_HMMActual","","","","","","6159.199999988079","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","175935","0.0-3.0-0.12","27","Low_HMMActual","","","","","","12813.699999988079","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","190553","0.0-3.0-0.13","27","Low_HMMActual","","","","","","14617.5","","","","tutorial/tutorial14.png"," ",""
"image-keyboard-response","20","193005","0.0-3.0-0.14","27","Low_HMMActual","","","","","","2450.699999988079","","","","tutorial/tutorial15.png"," ",""
"image-keyboard-response","21","201473","0.0-4.0","27","Low_HMMActual","","","","","","8467.400000035763","","","","tutorial/tutorial16.png","arrowup",""
"image-keyboard-response","22","209180","0.0-5.0","27","Low_HMMActual","","","","","","5511.099999964237","","","","tutorial/tutorial17.png","arrowright",""
"image-keyboard-response","23","215704","0.0-6.0","27","Low_HMMActual","","","","","","5519.400000035763","","","","tutorial/tutorial18.png","arrowleft",""
"image-keyboard-response","24","228085","0.0-7.0","27","Low_HMMActual","","","","","","11076.899999976158","","","","tutorial/tutorial19.png"," ",""
"html-keyboard-response","25","230794","0.0-8.0","28","Low_HMMActual","","","","","","2706.300000011921","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","26","247675","0.0-9.0-0.0","28","Low_HMMActual","","","","","","16876.299999952316","","","","Images/NoChoice.png","","1"
"image-button-response","27","247978","0.0-9.0-1.0","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","28","248480","0.0-9.0-2.0","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","29","251929","0.0-9.0-0.1","28","Low_HMMActual","","","","","","3443.300000011921","","","","Images/NewTrialWC.png","","2"
"image-button-response","30","252230","0.0-9.0-1.1","28","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","31","252732","0.0-9.0-2.1","28","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","32","254246","0.0-9.0-0.2","28","Low_HMMActual","","","","","","1512.5","","","","Images/NewTrialWC.png","","2"
"image-button-response","33","254549","0.0-9.0-1.2","28","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","34","255050","0.0-9.0-2.2","28","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","35","257442","0.0-9.0-0.3","28","Low_HMMActual","","","","","","2390.900000035763","","","","Images/NewTrialBC.png","","0"
"image-button-response","36","257744","0.0-9.0-1.3","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","37","258245","0.0-9.0-2.3","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","38","260045","0.0-9.0-0.4","28","Low_HMMActual","","","","","","1797.6000000238419","","","","Images/NewTrialBC.png","","0"
"image-button-response","39","260346","0.0-9.0-1.4","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","40","260849","0.0-9.0-2.4","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","41","261799","0.0-9.0-0.5","28","Low_HMMActual","","","","","","947.9000000357628","","","","Images/NewTrialBC.png","","0"
"image-button-response","42","262101","0.0-9.0-1.5","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","43","262603","0.0-9.0-2.5","28","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","44","263508","0.0-9.0-0.6","28","Low_HMMActual","","","","","","903.6000000238419","","","","Images/NewTrialWC.png","","2"
"image-button-response","45","263810","0.0-9.0-1.6","28","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
