Subject,Trial,Jar,Bead,Prior,Posterior,Resp,Confidence,Correct,History,Response,Unnamed: 0
Ideal2_Hard,1,1,1,0.5,0.8,1.0,0,1,0,1,1000
Ideal2_Hard,2,1,1,0.794,0.9390892962743939,1.0,0,1,1,1,1001
Ideal2_Hard,3,1,1,0.9303075103489059,0.9816159551981529,1.0,1,1,11,1,1002
Ideal2_Hard,4,1,1,0.9719836360941898,0.992845578363469,1.0,1,1,111,1,1003
Ideal2_Hard,5,1,1,0.9829886667961997,0.9956922057059681,1.0,1,1,1111,1,1004
Ideal2_Hard,6,1,1,0.9857783615918487,0.9964062587313205,1.0,1,1,11111,1,1005
Ideal2_Hard,7,1,1,0.9864781335566941,0.9965848994894276,1.0,1,1,111111,1,1006
Ideal2_Hard,8,1,0,0.9866532014996391,0.94866815343675,1.0,1,0,1111111,1,1007
Ideal2_Hard,9,1,0,0.9396947903680151,0.7957340620909057,1.0,1,0,11111110,1,1008
Ideal2_Hard,10,1,1,0.7898193808490876,0.9376218340578587,1.0,1,1,111111100,1,1009
Ideal2_Hard,11,1,1,0.9288693973767016,0.981215219791915,1.0,1,1,1111111001,1,1010
Ideal2_Hard,12,1,0,0.9715909153960766,0.8952879795300428,1.0,1,0,1111110011,1,1011
Ideal2_Hard,13,1,1,0.8873822199394419,0.9692481512834483,1.0,1,1,1111100110,1,1012
Ideal2_Hard,14,1,1,0.9598631882577793,0.9896543665065338,1.0,1,1,1111001101,1,1013
Ideal2_Hard,15,1,1,0.9798612791764032,0.9948881095937718,1.0,1,1,1110011011,1,1014
Ideal2_Hard,16,1,1,0.9849903474018964,0.9962048640968727,1.0,1,1,1100110111,1,1015
Ideal2_Hard,17,1,1,0.9862807668149353,0.9965345340521587,1.0,1,1,1001101111,1,1016
Ideal2_Hard,18,1,1,0.9866038433711155,0.9966169711545587,1.0,1,1,11011111,1,1017
Ideal2_Hard,19,1,0,0.9866846317314675,0.948784391010257,1.0,1,0,110111111,1,1018
Ideal2_Hard,20,1,1,0.9398087031900518,0.9842407484571754,1.0,1,1,1101111110,1,1019
Ideal2_Hard,21,1,0,0.9745559334880318,0.9054415857002543,1.0,1,0,1011111101,1,1020
Ideal2_Hard,22,1,1,0.8973327539862493,0.972191957111247,1.0,1,1,111111010,1,1021
Ideal2_Hard,23,1,0,0.962748117969022,0.8659709724456337,1.0,1,0,1111110101,1,1022
Ideal2_Hard,24,1,1,0.8586515529967209,0.9604725281826713,1.0,1,1,1111101010,1,1023
Ideal2_Hard,25,1,1,0.9512630776190177,0.9873535060076832,1.0,1,1,1111010101,1,1024
Ideal2_Hard,26,1,1,0.9776064358875296,0.9943059768678313,1.0,1,1,1110101011,1,1025
Ideal2_Hard,27,1,1,0.9844198573304745,0.9960589123011528,1.0,1,1,1101010111,1,1026
Ideal2_Hard,28,1,1,0.9861377340551297,0.9964980245272811,1.0,1,1,1010101111,1,1027
Ideal2_Hard,29,1,1,0.9865680640367355,0.9966078435884105,1.0,1,1,101011111,1,1028
Ideal2_Hard,30,1,0,0.9866756867166422,0.9487513077589168,1.0,1,0,1010111111,1,1029
Ideal2_Hard,31,1,1,0.9397762816037384,0.9842318583072314,1.0,1,1,101111110,1,1030
Ideal2_Hard,32,1,1,0.9745472211410868,0.993512970591533,1.0,1,1,1011111101,1,1031
Ideal2_Hard,33,1,1,0.9836427111797023,0.9958598870271919,1.0,1,1,111111011,1,1032
Ideal2_Hard,34,1,0,0.985942689286648,0.9460460974630709,1.0,1,0,1111110111,1,1033
Ideal2_Hard,35,1,1,0.9371251755138095,0.9835033771801424,1.0,1,1,1111101110,1,1034
Ideal2_Hard,36,1,1,0.9738333096365396,0.9933273770654546,1.0,1,1,1111011101,1,1035
Ideal2_Hard,37,1,0,0.9834608295241455,0.936970676286222,1.0,1,0,1110111011,1,1036
Ideal2_Hard,38,1,1,0.9282312627604976,0.9810371086131937,1.0,1,1,1101110110,1,1037
Ideal2_Hard,39,1,0,0.9714163664409299,0.8946954276851464,1.0,1,0,1011101101,1,1038
Ideal2_Hard,40,1,1,0.8868015191314436,0.9690748716177052,1.0,1,1,111011010,1,1039
Ideal2_Hard,41,1,1,0.9596933741853512,0.9896092309152693,1.0,1,1,1110110101,1,1040
Ideal2_Hard,42,1,0,0.979817046296964,0.9238773263801197,1.0,1,0,1101101011,1,1041
Ideal2_Hard,43,1,1,0.9153997798525173,0.977417053264049,1.0,1,1,1011010110,1,1042
Ideal2_Hard,44,1,1,0.967868712198768,0.991768819220771,1.0,1,1,110101101,1,1043
Ideal2_Hard,45,1,0,0.9819334428363555,0.931449202073481,1.0,1,0,1101011011,1,1044
Ideal2_Hard,46,1,1,0.9228202180320113,0.9795195468250146,1.0,1,1,1010110110,1,1045
Ideal2_Hard,47,1,1,0.9699291558885144,0.9923088289682814,1.0,1,1,101101101,1,1046
Ideal2_Hard,48,1,1,0.9824626523889158,0.9955572272598026,1.0,1,1,1011011011,1,1047
Ideal2_Hard,49,1,1,0.9856460827146065,0.9963724687156473,1.0,1,1,110110111,1,1048
Ideal2_Hard,50,1,1,0.9864450193413344,0.9965764502220658,1.0,1,1,1101101111,1,1049
Ideal2_Hard,51,1,1,0.9866449212176245,0.996627449799184,1.0,1,1,1011011111,1,1050
Ideal2_Hard,52,1,1,0.9866949008032004,0.9966401983299236,1.0,1,1,110111111,1,1051
Ideal2_Hard,53,1,1,0.9867073943633251,0.9966433849709396,1.0,1,1,1101111111,1,1052
Ideal2_Hard,54,1,1,0.9867105172715208,0.9966441814988722,1.0,1,1,1011111111,1,1053
Ideal2_Hard,55,1,1,0.9867112978688948,0.9966443805971917,1.0,1,1,111111111,1,1054
Ideal2_Hard,56,1,0,0.986711492985248,0.9488837479623039,1.0,1,0,1111111111,1,1055
Ideal2_Hard,57,1,1,0.9399060730030578,0.9842674449916543,1.0,1,1,1111111110,1,1056
Ideal2_Hard,58,1,1,0.9745820960918211,0.9935220317419274,1.0,1,1,1111111101,1,1057
Ideal2_Hard,59,1,1,0.9836515911070888,0.9958621624820149,1.0,1,1,1111111011,1,1058
Ideal2_Hard,60,1,1,0.9859449192323745,0.9964487954580996,1.0,1,1,1111110111,1,1059
Ideal2_Hard,61,1,1,0.9865198195489375,0.9965955352882441,1.0,1,1,1111101111,1,1060
Ideal2_Hard,62,1,1,0.9866636245824791,0.9966322206685037,1.0,1,1,1111011111,1,1061
Ideal2_Hard,63,1,1,0.9866995762551336,0.9966413908703198,1.0,1,1,1110111111,1,1062
Ideal2_Hard,64,1,1,0.9867085630529133,0.9966436830569613,1.0,1,1,1101111111,1,1063
Ideal2_Hard,65,1,0,0.986710809395822,0.9488812192459685,1.0,1,0,1011111111,1,1064
Ideal2_Hard,66,1,1,0.9399035948610491,0.9842667655934821,1.0,1,1,111111110,1,1065
Ideal2_Hard,67,1,1,0.9745814302816126,0.9935218587567758,1.0,1,1,1111111101,1,1066
Ideal2_Hard,68,1,0,0.9836514215816403,0.9376630479723193,1.0,1,0,1111111011,1,1067
Ideal2_Hard,69,1,1,0.928909787012873,0.9812264869735426,1.0,1,1,1111110110,1,1068
Ideal2_Hard,70,1,1,0.9716019572340718,0.9927459895339382,1.0,1,1,1111101101,1,1069
Ideal2_Hard,71,1,1,0.9828910697432595,0.9956671698694262,1.0,1,1,1111011011,1,1070
Ideal2_Hard,72,1,1,0.9857538264720376,0.9963999918625381,1.0,1,1,1110110111,1,1071
Ideal2_Hard,73,1,1,0.9864719920252873,0.9965833324772003,1.0,1,1,1101101111,1,1072
Ideal2_Hard,74,1,1,0.9866516658276564,0.9966291702353112,1.0,1,1,1011011111,1,1073
Ideal2_Hard,75,1,0,0.986696586830605,0.9488286097627552,1.0,1,0,110111111,1,1074
Ideal2_Hard,76,1,1,0.9398520375675001,0.9842526302382445,1.0,1,1,1101111110,1,1075
Ideal2_Hard,77,1,1,0.9745675776334796,0.9935182596394808,1.0,1,1,1011111101,1,1076
Ideal2_Hard,78,1,1,0.9836478944466912,0.995861215227577,1.0,1,1,111111011,1,1077
Ideal2_Hard,79,1,1,0.9859439909230254,0.9964485584093302,1.0,1,1,1111110111,1,1078
Ideal2_Hard,80,1,1,0.9865195872411435,0.9965954760189015,1.0,1,1,1111101111,1,1079
