"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","15","0.0-0.0","1","Low_HMMActual","","","","","","","","","","","",""
"preload","1","16","0.0-1.0","1","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","19437","0.0-2.0-0.0","1","Low_HMMActual","","","","","","19356.424999998126","consent.html","","","","",""
"survey-multi-choice","3","26860","0.0-2.0-1.0","1","Low_HMMActual","","","","","","7421.855000000505","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","29140","0.0-2.0-2.0","1","Low_HMMActual","","","","","","2278.795000001992","","{""Q0"":""32""}","","","",""
"survey-text","5","32780","0.0-2.0-3.0","1","Low_HMMActual","","","","","","3532.1550000007846","","{""Q0"":""5d6fea4eb5656a00199cf0fe""}","","","",""
"image-keyboard-response","6","50373","0.0-3.0-0.0","1","Low_HMMActual","","","","","","17485.020000000077","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","54628","0.0-3.0-0.1","1","Low_HMMActual","","","","","","4253.495000000839","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","58148","0.0-3.0-0.2","1","Low_HMMActual","","","","","","3519.9199999988195","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","60925","0.0-3.0-0.3","1","Low_HMMActual","","","","","","2775.9750000004715","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","64684","0.0-3.0-0.4","1","Low_HMMActual","","","","","","3758.4200000019337","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","84517","0.0-3.0-0.5","1","Low_HMMActual","","","","","","19831.92499999859","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","95212","0.0-3.0-0.6","1","Low_HMMActual","","","","","","10694.569999999658","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","126085","0.0-3.0-0.7","1","Low_HMMActual","","","","","","30872.21000000136","","","","tutorial/tutorial8.png"," ",""
