"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","25","0.0-0.0","1","Low_HMMActual","","","","","","","","","","","",""
"preload","1","27","0.0-1.0","1","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","4462","0.0-2.0-0.0","1","Low_HMMActual","","","","","","4195.945000000393","consent.html","","","","",""
"survey-multi-choice","3","11142","0.0-2.0-1.0","1","Low_HMMActual","","","","","","6676.279999999679","","{""Q0"":""Male"",""Q1"":""Hispanic or Latino""}","[0,1]","","",""
"survey-text","4","13734","0.0-2.0-2.0","1","Low_HMMActual","","","","","","2583.0000000005384","","{""Q0"":""21""}","","","",""
"survey-text","5","19958","0.0-2.0-3.0","1","Low_HMMActual","","","","","","6112.679999999273","","{""Q0"":""6041bf57d082671c3ce0cdf6""}","","","",""
"image-keyboard-response","6","76377","0.0-3.0-0.0","1","Low_HMMActual","","","","","","56315.89500000063","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","119006","0.0-3.0-0.1","1","Low_HMMActual","","","","","","42628.78000000001","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","123495","0.0-3.0-0.2","1","Low_HMMActual","","","","","","4488.249999999418","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","127424","0.0-3.0-0.3","1","Low_HMMActual","","","","","","3927.805000000255","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","130613","0.0-3.0-0.4","1","Low_HMMActual","","","","","","3188.9499999997497","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","155457","0.0-3.0-0.5","1","Low_HMMActual","","","","","","24843.495000000054","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","162291","0.0-3.0-0.6","1","Low_HMMActual","","","","","","6832.760000000213","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","205883","0.0-3.0-0.7","1","Low_HMMActual","","","","","","43591.10500000042","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","215475","0.0-3.0-0.8","1","Low_HMMActual","","","","","","9591.660000000033","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","227910","0.0-3.0-0.9","1","Low_HMMActual","","","","","","12433.540000000008","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","232858","0.0-3.0-0.10","1","Low_HMMActual","","","","","","4947.294999999955","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","242758","0.0-3.0-0.11","1","Low_HMMActual","","","","","","9898.839999999822","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","244694","0.0-3.0-0.12","1","Low_HMMActual","","","","","","1935.3449999998847","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","257101","0.0-3.0-0.13","1","Low_HMMActual","","","","","","12406.8299999999","","","","tutorial/tutorial14.png"," ",""
"image-keyboard-response","20","259931","0.0-3.0-0.14","1","Low_HMMActual","","","","","","2828.8800000000047","","","","tutorial/tutorial15.png"," ",""
"image-keyboard-response","21","267536","0.0-4.0","1","Low_HMMActual","","","","","","7604.859999999404","","","","tutorial/tutorial16.png","arrowup",""
"image-keyboard-response","22","276041","0.0-5.0","1","Low_HMMActual","","","","","","6451.654999999853","","","","tutorial/tutorial17.png","arrowright",""
"image-keyboard-response","23","282714","0.0-6.0","1","Low_HMMActual","","","","","","5503.090000000142","","","","tutorial/tutorial18.png","arrowleft",""
"image-keyboard-response","24","287127","0.0-7.0","1","Low_HMMActual","","","","","","3190.550000000221","","","","tutorial/tutorial19.png"," ",""
"html-keyboard-response","25","288298","0.0-8.0","2","Low_HMMActual","","","","","","1167.0250000006636","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","26","300898","0.0-9.0-0.0","2","Low_HMMActual","","","","","","12595.749999999476","","","","Images/NoChoice.png","","0"
"image-button-response","27","301208","0.0-9.0-1.0","2","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","28","301712","0.0-9.0-2.0","2","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","29","309507","0.0-9.0-0.1","2","Low_HMMActual","","","","","","7793.055000000051","","","","Images/NewTrialWC.png","","3"
"image-button-response","30","309809","0.0-9.0-1.1","2","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","31","310311","0.0-9.0-2.1","2","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","32","311739","0.0-9.0-0.2","2","Low_HMMActual","","","","","","1425.4299999993527","","","","Images/NewTrialWC.png","","0"
"image-button-response","33","312048","0.0-9.0-1.2","2","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","34","312555","0.0-9.0-2.2","2","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","35","313675","0.0-9.0-0.3","2","Low_HMMActual","","","","","","1118.0599999997648","","","","Images/NewTrialWC.png","","0"
