"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","31","0.0-0.0","17","Low_HMMActual","","","","","","","","","","","",""
"preload","1","33","0.0-1.0","17","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","3655","0.0-2.0-0.0","17","Low_HMMActual","","","","","","3480.39999999851","consent.html","","","","",""
"survey-multi-choice","3","64586","0.0-2.0-1.0","17","Low_HMMActual","","","","","","60929.10000000149","","{""Q0"":""Male"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","67329","0.0-2.0-2.0","17","Low_HMMActual","","","","","","2737.7000000029802","","{""Q0"":""20""}","","","",""
"survey-text","5","73640","0.0-2.0-3.0","17","Low_HMMActual","","","","","","6204.89999999851","","{""Q0"":""5ead88170d11e706162e0fcd""}","","","",""
"image-keyboard-response","6","130274","0.0-3.0-0.0","17","Low_HMMActual","","","","","","56521.39999999851","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","134077","0.0-3.0-0.1","17","Low_HMMActual","","","","","","3802.5","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","137195","0.0-3.0-0.2","17","Low_HMMActual","","","","","","3116.5","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","139731","0.0-3.0-0.3","17","Low_HMMActual","","","","","","2535.199999999255","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","141800","0.0-3.0-0.4","17","Low_HMMActual","","","","","","2068","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","147730","0.0-3.0-0.5","17","Low_HMMActual","","","","","","5928.699999999255","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","151184","0.0-3.0-0.6","17","Low_HMMActual","","","","","","3453.300000000745","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","171872","0.0-3.0-0.7","17","Low_HMMActual","","","","","","20687.20000000298","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","174660","0.0-3.0-0.8","17","Low_HMMActual","","","","","","2786.800000000745","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","181379","0.0-3.0-0.9","17","Low_HMMActual","","","","","","6717.599999997765","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","188997","0.0-3.0-0.10","17","Low_HMMActual","","","","","","7617.800000000745","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","237589","0.0-3.0-0.11","17","Low_HMMActual","","","","","","48590.699999999255","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","241178","0.0-3.0-0.12","17","Low_HMMActual","","","","","","3588.699999999255","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","243545","0.0-3.0-0.13","17","Low_HMMActual","","","","","","2366.89999999851","","","","tutorial/tutorial14.png"," ",""
"image-keyboard-response","20","246115","0.0-3.0-0.14","17","Low_HMMActual","","","","","","2569.7999999970198","","","","tutorial/tutorial15.png"," ",""
"image-keyboard-response","21","251179","0.0-4.0","17","Low_HMMActual","","","","","","5063.599999997765","","","","tutorial/tutorial16.png","arrowup",""
"image-keyboard-response","22","260892","0.0-5.0","17","Low_HMMActual","","","","","","7742","","","","tutorial/tutorial17.png","arrowright",""
"image-keyboard-response","23","267955","0.0-6.0","17","Low_HMMActual","","","","","","5679.5","","","","tutorial/tutorial18.png","arrowleft",""
"image-keyboard-response","24","273501","0.0-7.0","17","Low_HMMActual","","","","","","4317.10000000149","","","","tutorial/tutorial19.png"," ",""
"html-keyboard-response","25","281796","0.0-8.0","18","Low_HMMActual","","","","","","8292.300000000745","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","26","295192","0.0-9.0-0.0","18","Low_HMMActual","","","","","","13393.300000000745","","","","Images/NoChoice.png","","2"
"image-button-response","27","295495","0.0-9.0-1.0","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","28","295997","0.0-9.0-2.0","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","29","306018","0.0-9.0-0.1","18","Low_HMMActual","","","","","","10012.10000000149","","","","Images/NewTrialWC.png","","2"
"image-button-response","30","306325","0.0-9.0-1.1","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","31","306827","0.0-9.0-2.1","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","32","310342","0.0-9.0-0.2","18","Low_HMMActual","","","","","","3513.5","","","","Images/NewTrialWC.png","","2"
"image-button-response","33","310645","0.0-9.0-1.2","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","34","311147","0.0-9.0-2.2","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","35","476754","0.0-9.0-0.3","18","Low_HMMActual","","","","","","165605.19999999925","","","","Images/NewTrialWC.png","","1"
"image-button-response","36","477056","0.0-9.0-1.3","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","37","477557","0.0-9.0-2.3","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","38","481295","0.0-9.0-0.4","18","Low_HMMActual","","","","","","3736.5","","","","Images/NewTrialBC.png","","1"
"image-button-response","39","481601","0.0-9.0-1.4","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","40","482102","0.0-9.0-2.4","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","41","483510","0.0-9.0-0.5","18","Low_HMMActual","","","","","","1405.3999999985099","","","","Images/NewTrialWC.png","","3"
"image-button-response","42","483812","0.0-9.0-1.5","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","43","484313","0.0-9.0-2.5","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","44","486749","0.0-9.0-0.6","18","Low_HMMActual","","","","","","2434.300000000745","","","","Images/NewTrialWC.png","","3"
"image-button-response","45","487050","0.0-9.0-1.6","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","46","487551","0.0-9.0-2.6","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","47","681104","0.0-9.0-0.7","18","Low_HMMActual","","","","","","193550.6000000015","","","","Images/NewTrialBC.png","","3"
"image-button-response","48","681406","0.0-9.0-1.7","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","49","681909","0.0-9.0-2.7","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","50","682539","0.0-9.0-0.8","18","Low_HMMActual","","","","","","628.6000000014901","","","","Images/NewTrialWC.png","","3"
"image-button-response","51","682841","0.0-9.0-1.8","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","52","683343","0.0-9.0-2.8","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","53","689319","0.0-9.0-0.9","18","Low_HMMActual","","","","","","5973.800000000745","","","","Images/NewTrialWC.png","","2"
"image-button-response","54","689622","0.0-9.0-1.9","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","55","690125","0.0-9.0-2.9","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"html-keyboard-response","56","693107","0.0-10.0","18","Low_HMMActual","","","","","","2981","","","",""," ",""
"image-keyboard-response","57","695730","0.0-11.0","18","Low_HMMActual","","","","","","2622.2999999970198","","","","tutorial/tutorial20.png"," ",""
"html-keyboard-response","58","883944","0.0-12.0","19","Low_HMMActual","","","","","","188210.30000000075","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","59","889623","0.0-13.0-0.0","19","Low_HMMActual","","","","","","5675.400000002235","","","","Images/NoChoice.png","","3"
"image-button-response","60","889933","0.0-13.0-1.0","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","61","890436","0.0-13.0-2.0","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","62","891763","0.0-13.0-0.1","19","Low_HMMActual","","","","","","1324.6000000014901","","","","Images/NewTrialWC.png","","3"
"image-button-response","63","892076","0.0-13.0-1.1","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","64","892580","0.0-13.0-2.1","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","65","894528","0.0-13.0-0.2","19","Low_HMMActual","","","","","","1945.800000000745","","","","Images/NewTrialWC.png","","3"
