"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","16","0.0-0.0","17","Low_HMMActual","","","","","","","","","","","",""
"preload","1","18","0.0-1.0","17","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","48061","0.0-2.0-0.0","17","Low_HMMActual","","","","","","47942.40000000596","consent.html","","","","",""
"survey-multi-choice","3","54952","0.0-2.0-1.0","17","Low_HMMActual","","","","","","6886.19999999553","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","57923","0.0-2.0-2.0","17","Low_HMMActual","","","","","","2966.5","","{""Q0"":""19""}","","","",""
"survey-text","5","65126","0.0-2.0-3.0","17","Low_HMMActual","","","","","","7097.10000000149","","{""Q0"":""60fdd1d643ddeccb4c6e5200""}","","","",""
"image-keyboard-response","6","86075","0.0-3.0-0.0","17","Low_HMMActual","","","","","","20845.39999999851","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","106267","0.0-3.0-0.1","17","Low_HMMActual","","","","","","20191.5","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","113656","0.0-3.0-0.2","17","Low_HMMActual","","","","","","7387.69999999553","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","117643","0.0-3.0-0.3","17","Low_HMMActual","","","","","","3985","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","120223","0.0-3.0-0.4","17","Low_HMMActual","","","","","","2579","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","132982","0.0-3.0-0.5","17","Low_HMMActual","","","","","","12758.89999999851","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","140475","0.0-3.0-0.6","17","Low_HMMActual","","","","","","7491.4000000059605","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","170880","0.0-3.0-0.7","17","Low_HMMActual","","","","","","30403","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","183705","0.0-3.0-0.8","17","Low_HMMActual","","","","","","12823.79999999702","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","195979","0.0-3.0-0.9","17","Low_HMMActual","","","","","","12273.39999999851","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","204034","0.0-3.0-0.10","17","Low_HMMActual","","","","","","8053.39999999851","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","211297","0.0-3.0-0.11","17","Low_HMMActual","","","","","","7261.5","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","223843","0.0-3.0-0.12","17","Low_HMMActual","","","","","","12545.20000000298","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","245135","0.0-3.0-0.13","17","Low_HMMActual","","","","","","21290.5","","","","tutorial/tutorial14.png"," ",""
"image-keyboard-response","20","249870","0.0-3.0-0.14","17","Low_HMMActual","","","","","","4733.19999999553","","","","tutorial/tutorial15.png"," ",""
"image-keyboard-response","21","258703","0.0-4.0","17","Low_HMMActual","","","","","","8831.10000000149","","","","tutorial/tutorial16.png","arrowup",""
"image-keyboard-response","22","267637","0.0-5.0","17","Low_HMMActual","","","","","","6222.79999999702","","","","tutorial/tutorial17.png","arrowright",""
"image-keyboard-response","23","273832","0.0-6.0","17","Low_HMMActual","","","","","","4041","","","","tutorial/tutorial18.png","arrowleft",""
"image-keyboard-response","24","284611","0.0-7.0","17","Low_HMMActual","","","","","","9221.90000000596","","","","tutorial/tutorial19.png"," ",""
"html-keyboard-response","25","296744","0.0-8.0","18","Low_HMMActual","","","","","","12128.79999999702","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","26","305862","0.0-9.0-0.0","18","Low_HMMActual","","","","","","9112","","","","Images/NoChoice.png","","0"
"image-button-response","27","306168","0.0-9.0-1.0","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","28","306671","0.0-9.0-2.0","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","29","310704","0.0-9.0-0.1","18","Low_HMMActual","","","","","","4022.5","","","","Images/NewTrialWC.png","","2"
"image-button-response","30","311010","0.0-9.0-1.1","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","31","311513","0.0-9.0-2.1","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","32","314004","0.0-9.0-0.2","18","Low_HMMActual","","","","","","2487.5","","","","Images/NewTrialWC.png","","2"
"image-button-response","33","314310","0.0-9.0-1.2","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","34","314819","0.0-9.0-2.2","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","35","316875","0.0-9.0-0.3","18","Low_HMMActual","","","","","","2051.89999999851","","","","Images/NewTrialWC.png","","2"
"image-button-response","36","317179","0.0-9.0-1.3","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","37","317682","0.0-9.0-2.3","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","38","323913","0.0-9.0-0.4","18","Low_HMMActual","","","","","","6228.5","","","","Images/NewTrialBC.png","","2"
"image-button-response","39","324220","0.0-9.0-1.4","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","40","324723","0.0-9.0-2.4","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","41","325917","0.0-9.0-0.5","18","Low_HMMActual","","","","","","1191.2999999970198","","","","Images/NewTrialWC.png","","2"
"image-button-response","42","326225","0.0-9.0-1.5","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","43","326730","0.0-9.0-2.5","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","44","327732","0.0-9.0-0.6","18","Low_HMMActual","","","","","","997.6999999955297","","","","Images/NewTrialWC.png","","2"
"image-button-response","45","328039","0.0-9.0-1.6","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","46","328543","0.0-9.0-2.6","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","47","329931","0.0-9.0-0.7","18","Low_HMMActual","","","","","","1385.0999999940395","","","","Images/NewTrialBC.png","","2"
"image-button-response","48","330237","0.0-9.0-1.7","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","49","330740","0.0-9.0-2.7","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","50","332312","0.0-9.0-0.8","18","Low_HMMActual","","","","","","1567.7999999970198","","","","Images/NewTrialWC.png","","2"
"image-button-response","51","332618","0.0-9.0-1.8","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","52","333122","0.0-9.0-2.8","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","53","334221","0.0-9.0-0.9","18","Low_HMMActual","","","","","","1095.6000000014901","","","","Images/NewTrialWC.png","","2"
"image-button-response","54","334536","0.0-9.0-1.9","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","55","335039","0.0-9.0-2.9","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"html-keyboard-response","56","339109","0.0-10.0","18","Low_HMMActual","","","","","","4066.1999999955297","","","",""," ",""
"image-keyboard-response","57","344749","0.0-11.0","18","Low_HMMActual","","","","","","5638.10000000149","","","","tutorial/tutorial20.png"," ",""
"html-keyboard-response","58","356474","0.0-12.0","19","Low_HMMActual","","","","","","11719.19999999553","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","59","358571","0.0-13.0-0.0","19","Low_HMMActual","","","","","","2094.39999999851","","","","Images/NoChoice.png","","3"
"image-button-response","60","358873","0.0-13.0-1.0","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","61","359376","0.0-13.0-2.0","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","62","360665","0.0-13.0-0.1","19","Low_HMMActual","","","","","","1286.3999999985099","","","","Images/NewTrialWC.png","","2"
"image-button-response","63","360971","0.0-13.0-1.1","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","64","361475","0.0-13.0-2.1","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","65","362272","0.0-13.0-0.2","19","Low_HMMActual","","","","","","792.8000000044703","","","","Images/NewTrialWC.png","","2"
"image-button-response","66","362578","0.0-13.0-1.2","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","67","363081","0.0-13.0-2.2","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","68","363814","0.0-13.0-0.3","19","Low_HMMActual","","","","","","728.6000000014901","","","","Images/NewTrialWC.png","","2"
"image-button-response","69","364120","0.0-13.0-1.3","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","70","364624","0.0-13.0-2.3","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","71","365332","0.0-13.0-0.4","19","Low_HMMActual","","","","","","704.1999999955297","","","","Images/NewTrialWC.png","","2"
"image-button-response","72","365636","0.0-13.0-1.4","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","73","366150","0.0-13.0-2.4","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","74","366883","0.0-13.0-0.5","19","Low_HMMActual","","","","","","728","","","","Images/NewTrialWC.png","","2"
"image-button-response","75","367189","0.0-13.0-1.5","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","76","367693","0.0-13.0-2.5","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","77","368377","0.0-13.0-0.6","19","Low_HMMActual","","","","","","681.7999999970198","","","","Images/NewTrialBC.png","","2"
"image-button-response","78","368684","0.0-13.0-1.6","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","79","369188","0.0-13.0-2.6","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","80","371135","0.0-13.0-0.7","19","Low_HMMActual","","","","","","1943.6000000014901","","","","Images/NewTrialBC.png","","0"
"image-button-response","81","371441","0.0-13.0-1.7","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","82","371949","0.0-13.0-2.7","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","83","373468","0.0-13.0-0.8","19","Low_HMMActual","","","","","","1515.2000000029802","","","","Images/NewTrialBC.png","","0"
"image-button-response","84","373771","0.0-13.0-1.8","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","85","374278","0.0-13.0-2.8","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","86","375250","0.0-13.0-0.9","19","Low_HMMActual","","","","","","969","","","","Images/NewTrialBC.png","","0"
"image-button-response","87","375554","0.0-13.0-1.9","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","88","376056","0.0-13.0-2.9","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","89","379326","0.0-13.0-0.10","19","Low_HMMActual","","","","","","3266.89999999851","","","","Images/NewTrialBC.png","","1"
"image-button-response","90","379632","0.0-13.0-1.10","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","91","380135","0.0-13.0-2.10","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","92","382211","0.0-13.0-0.11","19","Low_HMMActual","","","","","","2073.2999999970198","","","","Images/NewTrialWC.png","","2"
"image-button-response","93","382515","0.0-13.0-1.11","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","94","383020","0.0-13.0-2.11","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","95","385232","0.0-13.0-0.12","19","Low_HMMActual","","","","","","2208.2999999970198","","","","Images/NewTrialBC.png","","1"
"image-button-response","96","385536","0.0-13.0-1.12","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","97","386039","0.0-13.0-2.12","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","98","388842","0.0-13.0-0.13","19","Low_HMMActual","","","","","","2798.5","","","","Images/NewTrialWC.png","","3"
"image-button-response","99","389145","0.0-13.0-1.13","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","100","389648","0.0-13.0-2.13","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","101","390505","0.0-13.0-0.14","19","Low_HMMActual","","","","","","853.5999999940395","","","","Images/NewTrialWC.png","","2"
"image-button-response","102","390811","0.0-13.0-1.14","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","103","391315","0.0-13.0-2.14","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","104","393670","0.0-13.0-0.15","19","Low_HMMActual","","","","","","2350.5","","","","Images/NewTrialWC.png","","2"
"image-button-response","105","393976","0.0-13.0-1.15","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","106","394479","0.0-13.0-2.15","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","107","395290","0.0-13.0-0.16","19","Low_HMMActual","","","","","","807","","","","Images/NewTrialWC.png","","2"
"image-button-response","108","395598","0.0-13.0-1.16","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","109","396101","0.0-13.0-2.16","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","110","397793","0.0-13.0-0.17","19","Low_HMMActual","","","","","","1688.7000000029802","","","","Images/NewTrialBC.png","","1"
"image-button-response","111","398100","0.0-13.0-1.17","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","112","398602","0.0-13.0-2.17","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","113","399495","0.0-13.0-0.18","19","Low_HMMActual","","","","","","888.5","","","","Images/NewTrialBC.png","","0"
"image-button-response","114","399802","0.0-13.0-1.18","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","115","400306","0.0-13.0-2.18","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","116","401046","0.0-13.0-0.19","19","Low_HMMActual","","","","","","735.8999999985099","","","","Images/NewTrialBC.png","","0"
"image-button-response","117","401349","0.0-13.0-1.19","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","118","401852","0.0-13.0-2.19","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
