"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","139","0.0-0.0","17","Low_HMMActual","","","","","","","","","","","",""
"preload","1","154","0.0-1.0","17","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","6938","0.0-2.0-0.0","17","Low_HMMActual","","","","","","6283.279999624938","consent.html","","","","",""
"survey-multi-choice","3","16279","0.0-2.0-1.0","17","Low_HMMActual","","","","","","9327.49000005424","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","27397","0.0-2.0-2.0","17","Low_HMMActual","","","","","","11105.890000239015","","{""Q0"":""23""}","","","",""
"survey-text","5","36242","0.0-2.0-3.0","17","Low_HMMActual","","","","","","8737.12999979034","","{""Q0"":""5e8b4c59a70b7700081f5bff""}","","","",""
"image-keyboard-response","6","68801","0.0-3.0-0.0","17","Low_HMMActual","","","","","","32451.91999990493","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","78551","0.0-3.0-0.1","17","Low_HMMActual","","","","","","9746.005000080913","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","87969","0.0-3.0-0.2","17","Low_HMMActual","","","","","","9416.7500003241","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","90612","0.0-3.0-0.3","17","Low_HMMActual","","","","","","2640.6050003133714","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","96620","0.0-3.0-0.4","17","Low_HMMActual","","","","","","6005.169999785721","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","105768","0.0-3.0-0.5","17","Low_HMMActual","","","","","","9145.870000123978","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","111514","0.0-3.0-0.6","17","Low_HMMActual","","","","","","5743.13999991864","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","135413","0.0-3.0-0.7","17","Low_HMMActual","","","","","","23897.069999948144","","","","tutorial/tutorial8.png"," ",""
