"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","45","0.0-0.0","17","Low_HMMActual","","","","","","","","","","","",""
"preload","1","53","0.0-1.0","17","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","19212","0.0-2.0-0.0","17","Low_HMMActual","","","","","","19047","consent.html","","","","",""
"survey-multi-choice","3","25734","0.0-2.0-1.0","17","Low_HMMActual","","","","","","6516.300000071526","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","28659","0.0-2.0-2.0","17","Low_HMMActual","","","","","","2884.600000023842","","{""Q0"":""25""}","","","",""
"survey-text","5","38850","0.0-2.0-3.0","17","Low_HMMActual","","","","","","10055.699999928474","","{""Q0"":""5cd6bc4604748d000119f0a7""}","","","",""
"image-keyboard-response","6","176520","0.0-3.0-0.0","17","Low_HMMActual","","","","","","137561.70000004768","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","185525","0.0-3.0-0.1","17","Low_HMMActual","","","","","","9000.799999952316","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","190203","0.0-3.0-0.2","17","Low_HMMActual","","","","","","4675.800000071526","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","192451","0.0-3.0-0.3","17","Low_HMMActual","","","","","","2244.2000000476837","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","194308","0.0-3.0-0.4","17","Low_HMMActual","","","","","","1855.4000000953674","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","202833","0.0-3.0-0.5","17","Low_HMMActual","","","","","","8523.200000047684","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","210905","0.0-3.0-0.6","17","Low_HMMActual","","","","","","8068.799999952316","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","232032","0.0-3.0-0.7","17","Low_HMMActual","","","","","","21124.700000047684","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","237652","0.0-3.0-0.8","17","Low_HMMActual","","","","","","5618","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","244705","0.0-3.0-0.9","17","Low_HMMActual","","","","","","7049.5","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","250367","0.0-3.0-0.10","17","Low_HMMActual","","","","","","5658.799999952316","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","260003","0.0-3.0-0.11","17","Low_HMMActual","","","","","","9634.099999904633","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","271492","0.0-3.0-0.12","17","Low_HMMActual","","","","","","11485","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","284726","0.0-3.0-0.13","17","Low_HMMActual","","","","","","13231.899999976158","","","","tutorial/tutorial14.png"," ",""
"image-keyboard-response","20","286875","0.0-3.0-0.14","17","Low_HMMActual","","","","","","2147.0999999046326","","","","tutorial/tutorial15.png"," ",""
"image-keyboard-response","21","291767","0.0-4.0","17","Low_HMMActual","","","","","","4888.799999952316","","","","tutorial/tutorial16.png","arrowup",""
"image-keyboard-response","22","299362","0.0-5.0","17","Low_HMMActual","","","","","","4824.400000095367","","","","tutorial/tutorial17.png","arrowright",""
"image-keyboard-response","23","305205","0.0-6.0","17","Low_HMMActual","","","","","","4073.600000023842","","","","tutorial/tutorial18.png","arrowleft",""
"image-keyboard-response","24","310302","0.0-7.0","17","Low_HMMActual","","","","","","3520.899999976158","","","","tutorial/tutorial19.png"," ",""
"html-keyboard-response","25","316799","0.0-8.0","18","Low_HMMActual","","","","","","6491.100000023842","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","26","324215","0.0-9.0-0.0","18","Low_HMMActual","","","","","","7410.900000095367","","","","Images/NoChoice.png","","2"
"image-button-response","27","324523","0.0-9.0-1.0","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","28","325037","0.0-9.0-2.0","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","29","330049","0.0-9.0-0.1","18","Low_HMMActual","","","","","","4981.600000023842","","","","Images/NewTrialWC.png","","2"
"image-button-response","30","330360","0.0-9.0-1.1","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","31","330876","0.0-9.0-2.1","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","32","333573","0.0-9.0-0.2","18","Low_HMMActual","","","","","","2693.899999976158","","","","Images/NewTrialWC.png","","1"
"image-button-response","33","333882","0.0-9.0-1.2","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","34","334404","0.0-9.0-2.2","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","35","336732","0.0-9.0-0.3","18","Low_HMMActual","","","","","","2324.600000023842","","","","Images/NewTrialWC.png","","1"
"image-button-response","36","337044","0.0-9.0-1.3","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","37","337557","0.0-9.0-2.3","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceCorrect.png","","null"
"image-button-response","38","341972","0.0-9.0-0.4","18","Low_HMMActual","","","","","","4411.200000047684","","","","Images/NewTrialBC.png","","0"
"image-button-response","39","342279","0.0-9.0-1.4","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","40","342796","0.0-9.0-2.4","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","41","344467","0.0-9.0-0.5","18","Low_HMMActual","","","","","","1666.8999999761581","","","","Images/NewTrialWC.png","","2"
"image-button-response","42","344783","0.0-9.0-1.5","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","43","345300","0.0-9.0-2.5","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","44","346961","0.0-9.0-0.6","18","Low_HMMActual","","","","","","1657.6999999284744","","","","Images/NewTrialWC.png","","3"
"image-button-response","45","347273","0.0-9.0-1.6","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","46","347789","0.0-9.0-2.6","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"image-button-response","47","351315","0.0-9.0-0.7","18","Low_HMMActual","","","","","","3522.899999976158","","","","Images/NewTrialBC.png","","1"
"image-button-response","48","351634","0.0-9.0-1.7","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","49","352151","0.0-9.0-2.7","18","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","50","354967","0.0-9.0-0.8","18","Low_HMMActual","","","","","","2811.600000023842","","","","Images/NewTrialWC.png","","2"
"image-button-response","51","355289","0.0-9.0-1.8","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","52","355804","0.0-9.0-2.8","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","53","356367","0.0-9.0-0.9","18","Low_HMMActual","","","","","","559.3999999761581","","","","Images/NewTrialWC.png","","2"
"image-button-response","54","356698","0.0-9.0-1.9","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","55","357207","0.0-9.0-2.9","18","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceWrong.png","","null"
"html-keyboard-response","56","360275","0.0-10.0","18","Low_HMMActual","","","","","","3065","","","",""," ",""
"image-keyboard-response","57","362772","0.0-11.0","18","Low_HMMActual","","","","","","2494.2999999523163","","","","tutorial/tutorial20.png"," ",""
"html-keyboard-response","58","375590","0.0-12.0","19","Low_HMMActual","","","","","","12810.5","","","","<div class=""container"" style=""height:800px;width:800px;display:flex;flex-direction:column;justify-content:center;align-items:center;text-align:center;font-weight:normal;font-family:Arial;font-size:20px""><p>Loading episode&hellip;</p><div>"," ",""
"image-button-response","59","378603","0.0-13.0-0.0","19","Low_HMMActual","","","","","","3010.5","","","","Images/NoChoice.png","","2"
"image-button-response","60","378923","0.0-13.0-1.0","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","61","379439","0.0-13.0-2.0","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","62","380462","0.0-13.0-0.1","19","Low_HMMActual","","","","","","1018.6999999284744","","","","Images/NewTrialWC.png","","2"
"image-button-response","63","380781","0.0-13.0-1.1","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","64","381297","0.0-13.0-2.1","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","65","381998","0.0-13.0-0.2","19","Low_HMMActual","","","","","","697.6999999284744","","","","Images/NewTrialWC.png","","2"
"image-button-response","66","382314","0.0-13.0-1.2","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoice.png","","null"
"image-button-response","67","382831","0.0-13.0-2.2","19","Low_HMMActual","","","","","","null","","","","Images/WhiteBeadChoiceCorrect.png","","null"
"image-button-response","68","383906","0.0-13.0-0.3","19","Low_HMMActual","","","","","","1069.5","","","","Images/NewTrialWC.png","","1"
"image-button-response","69","384220","0.0-13.0-1.3","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
"image-button-response","70","384729","0.0-13.0-2.3","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoiceWrong.png","","null"
"image-button-response","71","385775","0.0-13.0-0.4","19","Low_HMMActual","","","","","","1042.5","","","","Images/NewTrialWC.png","","1"
"image-button-response","72","386094","0.0-13.0-1.4","19","Low_HMMActual","","","","","","null","","","","Images/BlackBeadChoice.png","","null"
