"trial_type","trial_index","time_elapsed","internal_node_id","Script_Picker","Block_Type","success","timeout","failed_images","failed_audio","failed_video","rt","url","responses","question_order","stimulus","key_press","response"
"pavlovia","0","10","0.0-0.0","17","Low_HMMActual","","","","","","","","","","","",""
"preload","1","12","0.0-1.0","17","Low_HMMActual","true","false","[]","[]","[]","","","","","","",""
"external-html","2","22800","0.0-2.0-0.0","17","Low_HMMActual","","","","","","22671.200000047684","consent.html","","","","",""
"survey-multi-choice","3","28745","0.0-2.0-1.0","17","Low_HMMActual","","","","","","5942.699999928474","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","",""
"survey-text","4","31842","0.0-2.0-2.0","17","Low_HMMActual","","","","","","3092.399999976158","","{""Q0"":""20""}","","","",""
"survey-text","5","34261","0.0-2.0-3.0","17","Low_HMMActual","","","","","","2311.2999999523163","","{""Q0"":""60fee335efe61e35ac985549""}","","","",""
"image-keyboard-response","6","55285","0.0-3.0-0.0","17","Low_HMMActual","","","","","","20920.799999952316","","","","tutorial/tutorial1.png"," ",""
"image-keyboard-response","7","63098","0.0-3.0-0.1","17","Low_HMMActual","","","","","","7812.600000023842","","","","tutorial/tutorial2.png"," ",""
"image-keyboard-response","8","67513","0.0-3.0-0.2","17","Low_HMMActual","","","","","","4413.300000071526","","","","tutorial/tutorial3.png"," ",""
"image-keyboard-response","9","69934","0.0-3.0-0.3","17","Low_HMMActual","","","","","","2420.399999976158","","","","tutorial/tutorial4.png"," ",""
"image-keyboard-response","10","72224","0.0-3.0-0.4","17","Low_HMMActual","","","","","","2288.7999999523163","","","","tutorial/tutorial5.png"," ",""
"image-keyboard-response","11","82141","0.0-3.0-0.5","17","Low_HMMActual","","","","","","9916.600000023842","","","","tutorial/tutorial6.png"," ",""
"image-keyboard-response","12","88445","0.0-3.0-0.6","17","Low_HMMActual","","","","","","6303.399999976158","","","","tutorial/tutorial7.png"," ",""
"image-keyboard-response","13","111165","0.0-3.0-0.7","17","Low_HMMActual","","","","","","22718.400000095367","","","","tutorial/tutorial8.png"," ",""
"image-keyboard-response","14","118951","0.0-3.0-0.8","17","Low_HMMActual","","","","","","7785.199999928474","","","","tutorial/tutorial9.png"," ",""
"image-keyboard-response","15","129541","0.0-3.0-0.9","17","Low_HMMActual","","","","","","10589.300000071526","","","","tutorial/tutorial10.png"," ",""
"image-keyboard-response","16","134909","0.0-3.0-0.10","17","Low_HMMActual","","","","","","5366.899999976158","","","","tutorial/tutorial11.png"," ",""
"image-keyboard-response","17","138023","0.0-3.0-0.11","17","Low_HMMActual","","","","","","3113.399999976158","","","","tutorial/tutorial12.png"," ",""
"image-keyboard-response","18","152205","0.0-3.0-0.12","17","Low_HMMActual","","","","","","14180.400000095367","","","","tutorial/tutorial13.png"," ",""
"image-keyboard-response","19","166272","0.0-3.0-0.13","17","Low_HMMActual","","","","","","14065.899999976158","","","","tutorial/tutorial14.png"," ",""
